0	TK	PROCEEDINGS
0	TK	2003
0	TK	WINTER
0	TK	SIMULATION
0	TK	CONFERENCE
0	TK	VOLUME
0	TK	1
1	TK	IFIP
1	TK	TC
1	TK	5
1	TK	WORKING
1	TK	GROUP
1	TK	55
1	TK	8TH
1	TK	IFIP
1	TK	WORKING
1	TK	CONFERENCE
1	TK	VIRTUAL
1	TK	ENTERPRISES
1	TK	PRO-VE
1	TK	2007
2	TK	10TH
2	TK	IFIP
2	TK	WG
2	TK	85
2	TK	INTERNATIONAL
2	TK	CONFERENCE
2	TK	ELECTRONIC
2	TK	GOVERNMENT
2	TK	EGOV
2	TK	2011
3	TK	BUSINESS
3	TK	PROCESS
3	TK	MANAGEMENT
3	TK	WORKSHOPSBPM
3	TK	2010
3	TK	INTERNATIONAL
3	TK	WORKSHOPS
3	TK	EDUCATION
3	TK	TRACK
3	TK	REVISED
3	TK	SELECTED
3	TK	PAPERS
4	TK	INTERNATIONAL
4	TK	CONFERENCE
4	TK	BUSINESS
4	TK	PROCESS
4	TK	MANAGEMENT
4	TK	BPM
4	TK	2016
5	TK	PROCEEDINGS2015
5	TK	3RD
5	TK	INTERNATIONAL
5	TK	CONFERENCE
5	TK	ENTERPRISE
5	TK	SYSTEMS
5	TK	ES
5	TK	2015
6	TK	AMCIS
6	TK	2016
6	TK	SURFING
6	TK	INNOVATION
6	TK	WAVE22ND
6	TK	AMERICAS
6	TK	CONFERENCE
6	TK	INFORMATION
6	TK	SYSTEMS
7	TK	35TH
7	TK	INTERNATIONAL
7	TK	CONFERENCE
7	TK	CONCEPTUAL
7	TK	MODELING
7	TK	ER
7	TK	2016
8	TK	17TH
8	TK	INTERNATIONAL
8	TK	CONFERENCE
8	TK	BUSINESS
8	TK	PROCESS
8	TK	MANAGEMENT
8	TK	BPM
8	TK	2019
9	TK	18TH
9	TK	INTERNATIONAL
9	TK	CONFERENCE
9	TK	PERSPECTIVES
9	TK	BUSINESS
9	TK	INFORMATICS
9	TK	RESEARCH
9	TK	BIR
9	TK	2019
10	TK	BPMT
10	TK	2019PROCEEDINGS
10	TK	DISSERTATION
10	TK	AWARD
10	TK	DOCTORAL
10	TK	CONSORTIUM
10	TK	DEMONSTRATION
10	TK	TRACK
10	TK	BPM
10	TK	2019
10	TK	CO-LOCATED
10	TK	17TH
10	TK	INTERNATIONAL
10	TK	CONFERENCE
10	TK	BUSINESS
10	TK	PROCESS
10	TK	MANAGEMENT
10	TK	BPM
10	TK	2019
11	TK	BPM-D
11	TK	2021PROCEEDINGS
11	TK	BEST
11	TK	DISSERTATION
11	TK	AWARD
11	TK	DOCTORAL
11	TK	CONSORTIUM
11	TK	DEMONSTRATION
11	TK	RESOURCES
11	TK	TRACK
11	TK	BPM
11	TK	2021
11	TK	CO-LOCATED
11	TK	19TH
11	TK	INTERNATIONAL
11	TK	CONFERENCE
11	TK	BUSINESS
11	TK	PROCESS
11	TK	MANAGEMENT
11	TK	BPM
11	TK	2021
12	TK	PROCEEDINGS
12	TK	21ST
12	TK	INTERNATIONAL
12	TK	CONFERENCE
12	TK	BUSINESS
12	TK	PROCESS
12	TK	MANAGEMENT
12	TK	BPM
12	TK	2023
13	TK	WORKSHOPS
13	TK	AI4BPM
13	TK	BP-MEET-IOT
13	TK	BPI
13	TK	BPM
13	TK	RD
13	TK	BPMS2
13	TK	BPO
13	TK	DEC2H
13	TK	NLP4BPM
13	TK	2022
13	TK	CO-LOCATED
13	TK	20TH
13	TK	INTERNATIONAL
13	TK	CONFERENCE
13	TK	BUSINESS
13	TK	PROCESS
13	TK	MANAGEMENT
13	TK	BPM
13	TK	2022
14	TK	PROCEEDINGS
14	TK	21ST
14	TK	INTERNATIONAL
14	TK	CONFERENCE
14	TK	BUSINESS
14	TK	PROCESS
14	TK	MANAGEMENT
14	TK	BPM
14	TK	2023
15	TK	OVERVIEW
15	TK	BISE
15	TK	ARTICLES
15	TK	PUBLISHED
15	TK	2009
15	TK	2010
16	TK	OVERVIEW
16	TK	BISE
16	TK	ARTICLES
16	TK	PUBLISHED
16	TK	2009
16	TK	2010
16	TK	2011
17	TK	OVERVIEW
17	TK	BISE
17	TK	ARTICLES
17	TK	PUBLISHED
17	TK	2009
17	TK	2010
17	TK	2011
17	TK	2012
18	TK	TAN
18	TK	CHEE
18	TK	PENG
19	AK	ACCOUNTING
19	AK	ACTIVITY-BASED COSTING
19	AK	BALANCED SCORECARD
19	AK	BUSINESS PROCESS MANAGEMENT
19	AK	PERFORMANCE MEASUREMENT
19	AK	STRUCTURED LITERATURE REVIEW
19	TK	NEXUS
19	TK	BUSINESS
19	TK	PROCESS
19	TK	MANAGEMENT
19	TK	BPM
19	TK	ACCOUNTING
19	TK	LITERATURE
19	TK	REVIEW
19	TK	FUTURE
19	TK	RESEARCH
19	TK	DIRECTIONS
20	AK	BUSINESS PROCESS MANAGEMENT
20	AK	CASE STUDY RESEARCH
20	AK	CHARACTERISTICS
20	AK	PERFORMANCE MEASUREMENT
20	AK	PROCESS PERFORMANCE MEASUREMENT
20	TK	PROCESS
20	TK	PERFORMANCE
20	TK	MEASUREMENT
20	TK	SYSTEM
20	TK	CHARACTERISTICS
20	TK	EMPIRICALLY
20	TK	VALIDATED
20	TK	FRAMEWORK
21	AK	PROCESS RE-ENGINEERING
21	AK	SCOR
21	AK	BPMN
21	AK	INFORMATION TECHNOLOGIES
21	AK	LOGISTICS PLATFORM
21	AK	MODELING
21	AK	AUTOMOTIVE SUPPLY CHAIN
21	AK	RFID
21	AK	KEY PERFORMANCE
21	TK	PROCESS
21	TK	RE-ENGINEERING
21	TK	SUCCESS
21	TK	INTEGRATION
21	TK	PROJECTS
21	TK	INFORMATION
21	TK	TECHNOLOGIES
21	TK	CASE
21	TK	STUDY
21	TK	PROCESS
21	TK	MODELING
21	TK	CROSS
21	TK	DOCKING
21	TK	PLATFORM
21	TK	CAR
21	TK	MANUFACTURER
22	AK	BUSINESS PROCESS COMPLIANCE
22	AK	PROCESS MINING
22	AK	CONFORMANCE CHECKING
22	AK	BANKING  AUSTRALIA
22	TK	ADDRESSING
22	TK	CONTEMPORARY
22	TK	CHALLENGES
22	TK	BUSINESS
22	TK	PROCESS
22	TK	COMPLIANCE
22	TK	CASE
22	TK	PROCESS
22	TK	MINING
22	TK	BANKING
22	TK	INDUSTRY
23	AK	BUSINESS PROCESS MANAGEMENT
23	AK	BUSINESS PROCESS MODEL
23	AK	STRATEGIC ALIGNMENT
23	TK	INTERACTIVE
23	TK	FRAMEWORK
23	TK	DEVELOP
23	TK	ALIGN
23	TK	BUSINESS
23	TK	PROCESS
23	TK	MODELS
24	AK	BUSINESS PROCESS MANAGEMENT
24	AK	 PERFORMANCE MANAGEMENT
24	AK	 APPRAISALS AND REWARDS
24	AK	 CASE STUDY
24	AK	SURVEY
24	TK	BUSINESS
24	TK	PROCESS
24	TK	PERFORMANCE
24	TK	INVESTIGATING
24	TK	IMPACT
24	TK	PROCESS-ORIENTED
24	TK	APPRAISALS
24	TK	REWARDS
24	TK	SUCCESS
25	TK	DECISIONAL
25	TK	ARCHITECTURES
25	TK	BUSINESS
25	TK	INTELLIGENCE
25	TK	BIG
25	TK	DATA
25	TK	CHALLENGES
25	TK	OPPORTUNITIES
26	TK	BUILDING
26	TK	PROCESS
26	TK	META
26	TK	MODEL
26	TK	EXTENDED
26	TK	CYCLES
27	AK	AND KPI
27	AK	QOS
27	AK	SLA
27	AK	SOA
27	TK	SLA
27	TK	BUSINESS
27	TK	MANAGEMENT
27	TK	BASED
27	TK	KEY
27	TK	PERFORMANCE
27	TK	INDICATORS
28	TK	ADNOCS
28	TK	RESERVOIR
28	TK	COMPLIANCE
28	TK	FRAMEWORK
28	TK	PIVOTAL
28	TK	UAE
28	TK	PRODUCTION
28	TK	SUSTAINABILITY
29	TK	DIGITAL
29	TK	TRANSFORMATION
29	TK	DRIVES
29	TK	REDUCTION
29	TK	INACTIVE
29	TK	STRINGS
29	TK	COUNT
29	TK	SUCCESS
29	TK	STORY
29	TK	MAJOR
29	TK	NATIONAL
29	TK	OIL
29	TK	COMPANY
30	AK	POSITIVE DEVIANCE
30	AK	HIGH-PERFORMING RESEARCHERS
30	AK	MIXED-METHODS
30	AK	BIBLIOMETRICS
30	AK	CITATION ANALYSIS
30	AK	TOPIC MODELLING
30	AK	HIGHER EDUCATION POLICY
30	AK	GLOBAL
30	TK	PUBLICATION
30	TK	OUTPERFORMANCE
30	TK	GLOBAL
30	TK	SOUTH
30	TK	RESEARCHERS
30	TK	ANALYSIS
30	TK	INDIVIDUAL-LEVEL
30	TK	PUBLICATION-LEVEL
30	TK	PREDICTORS
30	TK	POSITIVE
