1	DeSanctis	2008	10.1287/orsc.10.6.693
2	Grönlund	2010	10.1007/978-3-540-30078-6_30
4	Bann	2004	10.1007/s00464-003-9043-7
8	Tibshirani	2003	10.1111/1467-9868.00293
10	Tibshirani	2003	10.1111/1467-9868.00293
11	Bouillet	2008	10.1145/1449764.1449810
13	Li	2017	10.1007/978-3-319-59336-4_4
19	Darmani	2013	10.1108/bpmj-08-2011-0052
20	Leyer	2014	10.1007/978-3-642-45103-4_9
21	Dorling	2008	10.1109/compsac.2008.235
23	Friedrich	2011	10.1007/978-3-642-21640-4_36
24	Mikalef	2020	10.1080/0960085x.2020.1740618
25	Yang	2014	10.1145/2588555.2595631
26	Sungur	2013	10.1109/cbi.2013.24
28	Marzouqi	2017	10.2118/188348-ms
30	White	2012	10.1108/17410401211249175
31	Town	2002	10.1108/14684520210432459
32	Clough	2007	10.3115/1073083.1073110
33	Clough	2007	10.3115/1073083.1073110
36	Livieri	2015	10.7250/csimq.2015-2.05
37	Roberts	2003	10.1016/0951-5240(92)90016-6
38	Fui‐Hoon Nah	2007	10.1108/14637150110392782
42	del-Río-Ortega	2014	10.1080/17517575.2013.867543
43	Saaty	2012	10.1007/978-1-4614-3597-6
44	Shen	2011	10.1007/s13198-011-0051-z
47	Fazinga	2020	10.4067/s0718-50732019000300288
48	Gianni	2011	10.1177/0037549711400777
49	Chen	2011	10.1109/srii.2011.12
50	Andradottir	2002	10.1109/wsc.1998.744910
52	Dhingra	2019	10.1007/s13198-019-00810-z
53	Pistore	2010	10.1007/978-3-540-30106-6_11
54	Kelle	2004	10.1016/j.ijpe.2004.06.004
55	Ansolabehere	2005	10.2139/ssrn.463780
56	Fakhfakh	2011	10.4018/jssoe.2010070101
57	Rozinat	2008	10.1016/j.is.2008.09.002
58	Meddah	2016	10.4018/ijrsda.2016100102
59	Bouvard	2010	10.1016/j.ress.2010.11.009
60	Gien	2005	10.1016/j.simpat.2005.01.006
61	Laguna	2018	10.1201/b14763
62	Baarah	2012	10.1109/aeect.2011.6132523
63	Grover	2015	10.1080/07421222.1995.11518072
64	Kohlbacher	2010	10.1108/14637151011017985
65	Bandara	2016	10.1057/jittc.2016.4
70	Ha	2005	10.1016/j.datak.2005.02.007
72	Aguirre	2009	10.1109/wsc.2008.4736273
73	Mackay	2008	10.1287/isre.3.2.150
74	Witten	2011	10.1016/b978-0-12-374856-0.00001-8
76	Pahl	2006	10.1007/s10009-006-0015-9
77	Papazoglou	2007	10.1007/s00778-007-0044-3
78	Trencher	2018	10.1016/j.techfore.2018.07.033
79	Stewart	2012	10.4135/9781412991841
80	Henderson	2010	10.1147/sj.382.0472
84	Prikladnicki	2007	10.1109/icgse.2007.19
85	Draper	2014	10.1002/9781118625590
86	Shi	2012	10.2307/41166393
88	L'Ecuyer	2006	10.1109/wsc.2005.1574301
89	Biller	2023	10.1109/wsc57314.2022.10015246
90	Lucrédio	2008	10.1007/978-3-540-87875-9_22
91	Aguilar-Savén	2003	10.1016/s0925-5273(03)00102-6
93	Gordijn	2002	10.1109/5254.941353
94	Steiners	2011	10.1007/978-3-322-81893-5
95	Snook	2007	10.1080/00140139108964855
96	Goel	2011	10.1109/ecows.2011.22
97	Caire	2013	10.1109/re.2013.6636711
98	Liao	2012	10.1016/j.eswa.2012.02.063
99	Hillman	2002	10.1002/1097-0266(200101)22:2<125::aid-smj150>3.0.co;2-h
100	Boukhayma	2016	10.1109/isda.2015.7489263
104	Gjørven	2008	10.1145/1462802.1462809
107	Quesado	2022	10.3390/admsci12010038
108	Gordijn	2002	10.1109/5254.941353
109	Stol	2011	10.1016/j.infsof.2011.06.007
110	Scheer	2013	10.1007/978-3-642-97333-8
111	Barone	2011	10.1007/978-3-642-24849-8_7
112	Roy	2007	10.3115/1220175.1220268
113	Lu	2008	10.1080/10580530802384613
114	Adler	2019	10.5694/j.1326-5377.2009.tb02256.x
115	Guido	2015	10.1109/itecha.2015.7317363
116	Bertoli	2013	10.1007/978-3-642-45005-1_60
118	Dijkman	2008	10.1016/j.infsof.2008.02.006
120	Diamantini	2014	10.1007/978-3-662-45563-0_45
122	Parasuraman	2018	10.2307/1251430
123	Xu	2011	10.1007/978-3-642-25109-2_17
124	Franco‐Santos	2007	10.1108/01443570710763778
125	Lankhorst	2010	10.1007/978-3-642-16770-6_4
126	Dai	2007	10.1109/icebe.2007.11
131	Papazoglou	2007	10.1007/3-540-36189-8_12
133	Wand	2008	10.1111/j.1365-2575.1993.tb00127.x
136	Sotomayor	2008	10.1016/b978-012369404-1/50008-8
137	Chan	2002	10.1108/14637150010325444
139	Tagliabue	2016	10.1016/j.enbuild.2016.06.083
140	Lenz	2011	10.1007/978-3-540-40022-6_12
142	Camarinha-Matos	2007	10.1080/09537280701546880
143	Davison	2004	10.1111/j.1365-2575.2004.00162.x
144	Koksal	2005	10.1145/273244.273265
146	El Hadj Amor	2017	10.1016/j.procs.2017.11.099
147	Chhor	2021	10.1515/zwf-2021-0141
148	Yu	2010	10.1007/11545163_16
149	Ettl	2006	10.1109/dexa.2005.58
151	Hammer	2005	10.1016/s0007-6813(05)80064-3
152	Frantzén	2011	10.1016/j.rcim.2010.12.006
153	Beretta	2002	10.1108/14637150210428961
154	Christiaanse	2014	10.4018/ijismd.2013100102
155	Lewinton	2007	10.1243/pime_proc_1992_206_051_02
156	Castle	2009	10.1108/17410400910938878
157	Lahrmann	2011	10.1109/hicss.2011.90
158	Benbasat	2006	10.2307/248684
160	Kunze	2016	10.1007/978-3-319-44960-9
163	Little	2003	10.1108/02686900310476882
164	Santini	2007	10.1108/17511060710817249
165	Magdaleno	2017	10.1007/978-3-319-58457-7_32
166	Folino	2013	10.1007/978-3-642-41030-7_18
167	Martinez	2019	10.1108/bpmj-08-2018-0237
168	Olalla	2006	10.1007/bf02294975
170	Mulder	2007	10.1007/978-0-387-38269-2_51
172	Wisner	2006	10.1111/j.1745-493x.2000.tb00084.x
173	Jochem	2011	10.1108/17542731111139464
174	Diansheng Guo	2006	10.1109/tvcg.2006.84
176	Chawla	2010	10.1007/978-3-540-30576-7_20;
177	del-Río-Ortega	2012	10.1007/978-3-642-32885-5_18
178	RUIZ–CORTÉS	2005	10.1142/s0218843005001225
179	Bhatt	2009	10.1016/j.websem.2009.05.004
180	Castellanos	2005	10.1109/icde.2005.73
181	Soffer	2007	10.1108/14637150510630837
183	Church	2002	10.1145/219717.219778
184	Vakola	2007	10.1108/14637150010325453
187	Franco-Santos	2012	10.1016/j.mar.2012.04.001
188	Rajaraman	2003	10.1145/212433.220199
189	TOWILL	2007	10.1080/09511929108944496
190	Shi	2006	10.1007/s11518-006-0159-x
193	Dumas	2013	10.1007/978-3-642-33143-5
194	Xu	2008	10.1007/978-3-540-85758-7_18
195	Kumar	2013	10.1007/978-3-642-40176-3_20
196	Štěpánek	2012	10.1016/j.sbspro.2012.06.619
197	Jensen	2002	10.1016/0304-405x(76)90026-x
198	Baffo	2008	10.1007/978-0-387-84837-2_29
199	Seymour	2017	10.1056/nejmoa1703058
200	Arias	2016	10.1007/978-3-319-42887-1_37
201	Dumas	2018	10.1007/978-3-662-56509-4
202	Shaul	2012	10.1108/02635571211210031
203	Guha	2015	10.1080/07421222.1997.11518156
204	Mathew	2011	10.1007/978-3-540-30481-4_26
205	Liangzhao Zeng	2004	10.1109/tse.2004.11
206	Kuratko	2009	10.1016/j.bushor.2009.05.001
207	Dumas	2018	10.1007/978-3-662-56509-4
208	Ehm	2019	10.1109/wsc.2018.8632431
209	Stefanelli	2018	10.1055/s-0038-1633911
210	Shen	2011	10.1007/s13198-011-0051-z
211	Erol	2010	10.1002/smr.460
212	El-Garaihy	2021	10.5267/j.uscm.2021.10.010
213	van der Aalst	2016	10.1007/s12599-015-0409-x
214	Mattos	2012	10.1109/cscwd.2012.6221808
215	Krathu	2012	10.1007/978-3-642-35076-4_8
216	Hofmann	2017	10.1007/978-3-319-62371-9
218	Desai	2016	10.2118/183557-ms
219	Singh	2017	10.1097/00115514-201209000-00007
220	Chen	2004	10.1007/s10257-003-0029-8
221	Peffers	2008	10.2753/mis0742-1222240302
222	Işik	2013	10.1108/14637151311319932
223	Saaty	2005	10.1016/0022-2496(77)90033-5
225	Pradhan	2017	10.1108/jeim-01-2016-0026
226	Gebicki	2013	10.1007/s10729-013-9251-1
227	Mazanek	2008	10.1109/vlhcc.2008.4639094
228	Papazoglou	2007	10.1007/s00778-007-0044-3
229	McGregor	2005	10.1109/ipdps.2002.1016632
230	Hepp	2005	10.1109/icebe.2005.110
231	Dinata	2021	10.25139/inform.v5i1.2255
233	Fischer	2020	10.1016/j.im.2019.103262
234	Matthews	2015	10.1080/14783363.2015.1081812
236	García-Bañuelos	2014	10.1016/j.is.2014.04.006
237	Fleischmann	2002	10.1016/s0305-0483(00)00022-0
238	Moon	2002	10.1006/mare.1996.0024
239	Bourne	2005	10.1504/ijbpm.2003.002097
240	Becker	2007	10.1007/978-3-540-74444-3_7
241	Kapuscinski	2011	10.1007/978-1-4615-4949-9_2
242	Bhiri	2006	10.1109/icws.2006.52
244	Malinova	2013	10.1007/978-3-642-36285-9_10
246	Javalgi	2015	10.1007/978-3-319-17317-7_2
247	Hjalager	2009	10.1016/j.tourman.2009.08.012
248	Barreto	2010	10.1109/quatic.2010.19
249	Kohlbacher	2011	10.1108/14637151111122347
250	Seeliger	2018	10.1007/978-3-319-98648-7_17
251	Dees	2017	10.1007/978-3-319-69462-7_15
253	Dmitry	2021	10.1051/e3sconf/202125809012
254	Chang	2008	10.1016/j.eswa.2008.06.060
255	Onan	2019	10.1109/access.2019.2945911
261	Georgas	2009	10.1109/mc.2009.335
262	Ertel	2012	10.1080/01621459.1976.10481540
263	Weske	2004	10.1016/j.datak.2004.01.001
266	FAMA	2012	10.1111/j.1540-6261.1992.tb04398.x
267	Gourova	2014	10.1145/2602928.2603077
268	Gourova	2014	10.1145/2602928.2603077
269	Birkin	2002	10.1108/09566169710166557
270	Chen	2020	10.3390/e22010095
271	Reijers	2005	10.1016/j.ijinfomgt.2005.06.008
272	Desel	2007	10.1007/3-540-45594-9_9
274	Akman	2009	10.1109/seaa.2009.87
275	Amar	2003	10.1108/09544780210447474
276	Stewart	2003	10.1016/s0926-5805(03)00006-2
277	Kluge	2008	10.1109/compsac.2008.147
278	Valiente	2011	10.1016/j.knosys.2011.12.003
279	Zairi	2011	10.1007/978-94-011-1302-1
280	Greasley	2003	10.1108/14637150310484481
281	Beretta	2002	10.1108/14637150210428961
285	Zachman	2010	10.1147/sj.263.0276
287	Bollen	2011	10.1016/j.jocs.2010.12.007
289	Baden-Fuller	2010	10.1016/j.lrp.2010.03.002
290	Fischer	2020	10.1016/j.im.2019.103262
291	Lubbecke	2015	10.1109/hicss.2015.109
293	Colquhoun	2004	10.1108/eum0000000001236
294	de Vaus	2014	10.4135/9781446263495
295	Vinoski	2003	10.1109/mic.2002.1067742
296	Bygstad	2017	10.1007/978-3-319-56535-4_39
297	Gilpin	2019	10.1109/dsaa.2018.00018
299	Omar	2019	10.1021/acs.iecr.9b01984
301	Rezagholi	2010	10.1524/9783486594928
302	Kon	2005	10.1002/spe.654
303	Ouf	2013	10.7763/ijcte.2011.v3.404
304	Narasimhan	2008	10.1007/s12063-008-0004-0
306	Wong	2015	10.1016/j.autcon.2015.06.003
307	Yahya-Zadeh	2016	10.19030/jabr.v14i4.5650
308	Künzle	2011	10.1002/smr.524
312	Birje	2020	10.1007/s42488-020-00027-x
313	Fletcher	2010	10.1145/1862919.1862925
314	Stefanelli	2018	10.1055/s-0038-1633911
317	Andreadis	2014	10.1016/j.proeng.2014.02.233
318	NA	2017	10.1093/oxfordjournals.oep.a042181
319	Zimoch	2019	10.1007/978-3-030-11641-5_11
320	Bann	2004	10.1007/s00464-003-9043-7
321	Suematsu	2014	10.1007/978-3-319-06889-3
323	Zhou	2022	10.1016/j.eswa.2022.117641
325	Frost	2008	10.1016/b978-075064395-5.50003-0
326	Loboz	2011	10.1145/1996109.1996112
327	van der Aalst	2006	10.1016/j.is.2006.05.003
328	Hermosillo	2010	10.1109/scc.2010.48
330	Neely	2003	10.1016/s0925-5273(96)00080-1
